MIL;.767
TOR;.736
BOS;.667
IND;.616
MIA;.603
PHI;.589
BRK;.486
ORL;.452
CHA;.354
WAS;.347
CHI;.338
NYK;.318
DET;.303
ATL;.299
CLE;.292
LAL;.732
LAC;.681
DEN;.630
HOU;.611
OKC;.611
UTA;.611
DAL;.573
POR;.473
MEM;.466
PHO;.466
SAS;.451
SAC;.431
NOP;.417
MIN;.297
GSW;.231
