Rk;Player;Pos;Age;Tm;G;MP;PER;TS%;3PAr;FTr;ORB%;DRB%;TRB%;AST%;STL%;BLK%;TOV%;USG%;Column1;OWS;DWS;WS;WS/48;2;OBPM;DBPM;BPM;VORP
484;Jarrod Uthoff;PF;26;WAS;3;39;120;.682;.455;.000;27;117;70;0;0;0;0;117;;1;0;1;.083;;8;-21;-12;0
485;Jonas Valančiūnas;C;27;MEM;70;1845;222;.631;.123;.271;124;322;225;109;8;36;133;215;;42;28;70;.182;;21;2;24;20
486;Denzel Valentine;SF;26;CHI;36;488;130;.511;.578;.034;19;155;84;142;26;12;98;233;;-1;6;5;.048;;-8;2;-6;2
487;Jarred Vanderbilt;PF;20;TOT;11;46;76;.676;.125;.250;73;145;109;59;32;20;441;149;;-1;1;0;-0.026;;-66;5;-60;-1
487;Jarred Vanderbilt;PF;20;DEN;9;41;72;.714;.000;.000;82;136;109;66;36;23;500;148;;-1;1;0;-0.042;;-70;9;-61;0
487;Jarred Vanderbilt;PF;20;MIN;2;5;111;.532;1.000;2.000;0;219;106;0;0;0;0;155;;0;0;0;.104;;-28;-28;-56;0
488;Fred VanVleet;SG;25;TOR;54;1928;163;.553;.484;.256;10;99;56;277;25;9;123;217;;28;31;58;.145;;12;14;27;23
489;Gabe Vincent;PG;23;MIA;9;83;12;.297;.730;.000;0;65;34;101;29;0;26;202;;-3;1;-2;-0.117;;-85;-19;-104;-2
490;Noah Vonleh;C;24;TOT;36;377;155;.622;.163;.348;101;253;174;107;14;13;165;139;;6;4;10;.127;;-12;3;-10;1
490;Noah Vonleh;C;24;MIN;29;347;153;.605;.163;.326;100;259;176;108;15;14;162;139;;5;4;9;.124;;-15;4;-10;1
490;Noah Vonleh;C;24;DEN;7;30;176;.838;.167;.667;112;186;149;95;0;0;205;141;;1;0;1;.166;;13;-19;-6;0
491;Nikola Vučević;C;29;ORL;62;1998;219;.549;.280;.162;73;297;181;195;13;21;74;258;;35;29;64;.153;;37;5;42;31
492;Dean Wade;PF;23;CLE;12;71;139;.744;.308;.077;46;253;149;40;14;48;182;99;;1;1;2;.105;;-17;5;-12;0
493;Moritz Wagner;C;22;WAS;45;835;151;.638;.301;.357;70;222;143;98;16;20;177;186;;11;6;17;.099;;-20;-3;-23;-1
494;Dion Waiters;SG;28;TOT;10;207;115;.521;.475;.172;11;115;64;144;9;27;131;252;;-1;2;1;.030;;-7;-6;-12;0
494;Dion Waiters;SG;28;MIA;3;42;134;.530;.654;.038;0;282;147;125;0;47;102;309;;-1;1;0;-0.003;;24;-5;18;0
494;Dion Waiters;SG;28;LAL;7;165;110;.518;.411;.219;13;72;43;149;12;22;140;238;;-1;2;1;.038;;-14;-6;-20;0
495;Kemba Walker;PG;29;BOS;56;1742;200;.575;.532;.272;22;110;67;242;13;15;105;272;;39;20;59;.162;;49;-3;46;29
496;Lonnie Walker;SG;21;SAS;61;988;105;.507;.283;.171;25;127;76;96;15;12;103;187;;-2;6;3;.016;;-25;-10;-35;-4
497;Tyrone Wallace;SG;25;ATL;14;160;39;.389;.341;.386;20;130;74;109;20;5;163;160;;-3;1;-2;-0.075;;-77;-10;-87;-3
498;Derrick Walton;PG;24;TOT;26;248;87;.617;.615;.231;9;58;34;139;14;0;104;81;;4;2;6;.111;;-22;13;-10;1
498;Derrick Walton;PG;24;LAC;23;222;84;.626;.583;.250;10;59;35;126;9;0;91;83;;4;2;5;.112;;-22;9;-13;0
498;Derrick Walton;PG;24;DET;3;26;113;.500;1.000;.000;0;44;22;248;57;0;250;67;;0;0;1;.105;;-29;47;18;0
499;Brad Wanamaker;PG;30;BOS;71;1369;128;.577;.282;.376;17;94;56;178;22;9;153;155;;18;18;35;.124;;-19;13;-6;5
500;T.J. Warren;SF;26;IND;67;2202;184;.610;.227;.205;34;105;70;71;17;14;72;233;;40;26;65;.143;;12;0;11;17
501;P.J. Washington;PF;21;CHO;58;1759;124;.547;.390;.231;35;166;98;113;15;23;125;186;;5;15;20;.054;;-17;1;-16;2
502;Yuta Watanabe;SF;25;MEM;18;105;112;.480;.235;.235;72;128;100;64;22;8;51;157;;0;1;1;.065;;-26;9;-18;0
503;Tremont Waters;PG;22;BOS;11;119;43;.381;.490;.163;0;107;54;183;41;16;222;242;;-5;2;-3;-0.103;;-85;10;-75;-2
504;Paul Watson;SF;25;TOT;10;87;126;.517;.462;.346;25;179;103;124;22;11;91;161;;0;1;2;.097;;-12;9;-4;0
504;Paul Watson;SF;25;ATL;2;17;-71;.000;.429;.000;0;128;63;211;27;0;0;171;;-1;0;-1;-0.320;;-123;-15;-139;-1
504;Paul Watson;SF;25;TOR;8;70;173;.675;.474;.474;31;192;113;103;20;14;116;159;;2;1;3;.198;;14;14;29;1
505;Quinndary Weatherspoon;SG;23;SAS;11;78;32;.336;.294;.118;14;83;48;175;18;11;219;127;;-2;0;-1;-0.071;;-64;-10;-74;-1
506;Russell Westbrook;PG;31;HOU;57;2049;210;.536;.166;.297;51;181;115;356;21;8;150;344;;17;25;42;.098;;16;-1;15;18
507;Coby White;PG;19;CHI;65;1674;119;.506;.475;.163;18;140;76;165;14;3;114;244;;-5;14;9;.026;;-12;-16;-28;-4
508;Derrick White;SG;25;SAS;68;1677;164;.593;.391;.382;23;121;72;200;13;31;121;189;;31;11;42;.119;;12;1;13;14
509;Hassan Whiteside;C;30;POR;67;2008;250;.644;.010;.340;136;333;236;59;6;84;129;196;;56;30;85;.204;;25;7;32;26
510;Andrew Wiggins;SF;24;TOT;54;1858;164;.536;.342;.274;36;123;78;181;11;24;107;274;;8;11;19;.050;;11;-14;-3;8
510;Andrew Wiggins;SF;24;MIN;42;1455;161;.535;.348;.262;34;129;79;181;9;21;108;280;;6;8;14;.046;;11;-15;-4;6
510;Andrew Wiggins;SF;24;GSW;12;403;175;.542;.314;.324;47;103;74;182;19;38;104;254;;2;3;5;.064;;9;-11;-2;2
511;Grant Williams;PF;21;BOS;69;1043;79;.505;.455;.256;61;121;91;85;14;32;176;116;;1;14;16;.071;;-41;14;-27;-2
512;Johnathan Williams;PF;24;WAS;15;180;140;.566;.059;.382;140;253;194;59;3;39;112;103;;3;1;4;.109;;-8;-14;-22;0
513;Kenrich Williams;PF;25;NOP;39;832;75;.429;.660;.177;65;173;119;84;15;21;122;89;;1;8;9;.050;;-34;9;-24;-1
514;Lou Williams;PG;33;LAC;65;1864;173;.546;.337;.362;18;92;56;301;11;6;144;284;;23;18;41;.105;;22;-14;8;13
515;Marvin Williams;PF;33;TOT;58;1129;112;.587;.584;.213;28;143;85;76;16;24;102;125;;11;13;24;.102;;-16;10;-6;4
515;Marvin Williams;PF;33;CHO;41;808;118;.593;.557;.238;20;132;74;78;16;25;97;140;;8;6;15;.087;;-16;4;-13;1
515;Marvin Williams;PF;33;MIL;17;321;98;.566;.684;.123;49;171;114;72;14;22;118;87;;3;6;9;.139;;-16;25;9;2
516;Robert Williams;C;22;BOS;29;388;231;.728;.000;.386;112;240;177;101;27;84;169;136;;11;10;20;.253;;8;43;51;7
517;Nigel Williams-Goss;PG;25;UTA;10;50;81;.415;.438;.125;46;85;66;164;29;17;151;174;;-1;1;0;.017;;-52;13;-39;0
518;Zion Williamson;PF;19;NOP;24;668;241;.616;.039;.494;101;137;119;133;11;11;119;305;;15;4;20;.141;;35;-14;21;7
519;D.J. Wilson;PF;23;MIL;37;363;82;.475;.553;.136;35;205;125;91;4;12;120;181;;-3;6;3;.046;;-41;1;-40;-2
520;Justise Winslow;SG;23;MIA;11;352;85;.440;.209;.209;53;175;116;187;10;14;146;206;;-4;4;0;-0.004;;-35;0;-35;-1
521;Christian Wood;PF;24;DET;62;1325;232;.659;.276;.476;88;248;167;76;13;34;120;230;;36;15;51;.183;;35;-3;31;17
522;Delon Wright;PG;27;DAL;73;1570;154;.554;.309;.243;47;138;94;210;26;12;138;144;;26;18;44;.134;;0;18;19;15
523;Justin Wright-Foreman;PG;22;UTA;4;45;88;.437;.500;.200;0;118;61;230;22;0;121;241;;-1;1;0;-0.008;;-70;-20;-90;-1
524;Thaddeus Young;PF;31;CHI;64;1591;133;.521;.369;.120;62;161;109;113;28;14;139;197;;-2;21;19;.058;;-14;2;-12;3
525;Trae Young;PG;21;ATL;60;2120;239;.595;.455;.448;16;115;65;456;14;3;162;349;;53;6;59;.133;;62;-23;39;31
526;Cody Zeller;C;27;CHO;58;1341;188;.576;.157;.374;126;212;167;113;15;17;119;208;;23;13;36;.129;;2;-8;-6;5
527;Tyler Zeller;C;30;SAS;2;4;224;.250;.000;.000;809;269;539;0;0;0;0;432;;0;0;0;-0.075;;-3;-221;-224;0
528;Ante Žižić;C;23;CLE;22;221;164;.597;.000;.264;90;244;166;42;15;19;111;175;;3;2;5;.106;;-17;-15;-32;-1
529;Ivica Zubac;C;22;LAC;72;1326;217;.651;.005;.431;159;264;213;91;6;44;118;164;;44;23;66;.241;;19;8;28;16
