Rk;Player;Pos;Age;Tm;G;MP;PER;TS%;3PAr;FTr;ORB%;DRB%;TRB%;AST%;STL%;BLK%;TOV%;USG%;Column1;OWS;DWS;WS;WS/48;2;OBPM;DBPM;BPM;VORP
369;Nerlens Noel;C;25;OKC;61;1127;204;.711;.011;.394;92;199;147;76;25;69;173;149;;26;23;49;.209;;-3;34;31;15
370;Zach Norvell;SG;22;TOT;5;41;26;.402;.667;.083;0;163;79;102;23;0;194;161;;-1;0;-1;-0.084;;-71;-12;-84;-1
370;Zach Norvell;SG;22;LAL;2;5;-56;.000;.000;.000;0;216;109;0;0;0;0;84;;0;0;0;-0.152;;-103;-25;-128;0
370;Zach Norvell;SG;22;GSW;3;36;37;.437;.727;.091;0;156;75;117;27;0;208;171;;-1;0;-1;-0.075;;-67;-10;-78;-1
371;Jaylen Nowell;SG;20;MIN;15;151;105;.471;.491;.321;20;73;45;178;9;6;47;173;;1;0;2;.051;;-29;-8;-38;-1
372;Frank Ntilikina;PG;21;NYK;57;1187;98;.497;.411;.177;20;91;54;202;22;13;165;154;;1;8;9;.037;;-36;4;-32;-4
373;Kendrick Nunn;PG;24;MIA;67;1962;129;.534;.428;.109;12;87;51;185;14;8;106;241;;4;16;20;.049;;-10;-13;-23;-1
374;Jusuf Nurkić;C;25;POR;8;253;226;.567;.092;.321;96;241;169;191;21;54;132;240;;5;3;9;.164;;10;9;20;2
375;David Nwaba;SG;27;BRK;20;268;140;.627;.394;.380;32;140;87;43;19;37;88;142;;4;4;8;.138;;-10;20;10;2
376;Royce O'Neale;SF;26;UTA;71;2049;95;.578;.668;.151;15;188;104;116;14;13;135;96;;18;25;43;.101;;-13;22;9;15
377;Kyle O'Quinn;C;29;PHI;29;313;186;.544;.318;.235;120;290;205;227;11;65;176;157;;5;6;11;.165;;3;27;30;4
378;Semi Ojeleye;PF;25;BOS;69;1011;77;.562;.648;.163;28;125;77;47;10;5;83;97;;8;10;19;.088;;-21;4;-17;1
379;Jahlil Okafor;C;24;NOP;30;467;183;.642;.019;.383;109;180;144;120;7;39;167;199;;9;4;13;.133;;-5;3;-2;2
380;Elie Okobo;PG;22;PHO;55;719;106;.516;.392;.392;24;116;69;212;16;5;152;148;;5;5;10;.067;;-19;0;-19;0
381;Josh Okogie;SG;21;MIN;62;1547;115;.553;.387;.480;57;128;91;89;20;14;153;151;;9;12;22;.068;;-24;0;-24;-2
382;KZ Okpala;PF;20;MIA;5;26;137;.595;.200;.400;45;166;108;55;38;38;145;117;;0;0;1;.118;;-13;40;27;0
383;Victor Oladipo;SG;27;IND;19;528;113;.506;.423;.240;19;136;78;154;16;7;147;265;;-6;6;0;.002;;-22;-11;-33;-2
384;Kelly Olynyk;C;28;MIA;67;1300;146;.621;.588;.251;39;216;131;133;17;18;138;174;;19;18;37;.135;;0;10;10;10
385;Miye Oni;SF;22;UTA;10;109;97;.512;.594;.156;52;117;86;51;18;15;105;153;;0;1;1;.063;;-32;-10;-43;-1
386;Cedi Osman;SF;24;CLE;65;1910;107;.552;.527;.154;22;113;67;116;14;7;123;166;;10;6;16;.040;;-17;-9;-26;-3
387;Kelly Oubre Jr.;SF;24;PHO;56;1933;149;.560;.372;.298;38;171;104;66;17;18;82;224;;17;21;38;.093;;-3;-3;-5;7
388;Tariq Owens;PF;24;PHO;3;15;84;.340;.400;.400;146;75;111;0;32;0;0;167;;0;0;0;.021;;-31;-27;-58;0
389;Jeremy Pargo;PG;33;GSW;3;44;126;.557;.318;.045;24;51;37;332;11;0;151;257;;0;0;0;.011;;-28;-30;-59;0
390;Jabari Parker;PF;24;TOT;38;917;180;.571;.277;.189;71;183;126;124;23;15;121;240;;8;8;16;.083;;6;-3;3;5
390;Jabari Parker;PF;24;ATL;32;837;172;.565;.293;.183;69;179;123;116;23;15;124;240;;5;7;12;.068;;3;-3;0;4
390;Jabari Parker;PF;24;SAC;6;80;265;.638;.111;.250;96;231;162;215;18;12;91;238;;3;1;4;.234;;35;-9;26;1
391;Chandler Parsons;PF;31;ATL;5;54;56;.389;.778;.000;20;121;70;75;35;16;143;161;;-1;0;-1;-0.065;;-47;-14;-61;-1
392;Eric Paschall;PF;23;GSW;60;1654;145;.571;.202;.331;52;131;90;127;9;7;114;214;;16;5;21;.062;;-7;-20;-27;-3
393;Anžejs Pasečņiks;C;24;WAS;27;437;113;.551;.026;.500;101;169;134;57;10;24;145;158;;3;2;5;.054;;-41;-15;-56;-4
394;Patrick Patterson;PF;30;LAC;59;776;115;.580;.738;.185;48;151;101;72;4;3;77;147;;11;8;19;.118;;8;-5;3;5
395;Justin Patton;C;22;OKC;5;24;47;.450;.400;.000;47;179;115;126;0;0;167;220;;-1;0;0;-0.063;;-68;-33;-101;0
396;Chris Paul;PG;34;OKC;70;2208;217;.610;.343;.315;13;157;87;340;24;4;138;233;;59;30;89;.193;;30;14;44;35
397;Cameron Payne;SG;25;PHO;8;183;157;.612;.426;.103;24;166;94;195;21;10;134;191;;3;2;5;.120;;5;10;15;2
398;Elfrid Payton;PG;25;NYK;45;1246;160;.470;.157;.195;43;141;91;386;27;13;167;195;;5;12;17;.065;;-4;4;0;6
399;Gary Payton II;SF;27;WAS;29;432;113;.473;.397;.069;63;142;101;148;36;14;143;134;;0;4;5;.051;;-32;16;-16;0
400;Norvel Pelle;C;26;PHI;24;232;105;.526;.021;.292;95;248;171;46;6;114;249;134;;-2;5;3;.069;;-78;26;-52;-2
401;Theo Pinson;SG;24;BRK;33;365;52;.370;.516;.103;29;122;77;217;22;9;169;223;;-10;4;-6;-0.078;;-68;-2;-70;-5
402;Mason Plumlee;C;29;DEN;61;1057;188;.613;.017;.538;104;232;168;209;15;33;187;180;;20;14;34;.153;;3;17;20;11
403;Jakob Poeltl;C;24;SAS;66;1171;191;.612;.000;.323;121;225;173;136;15;71;151;132;;24;16;40;.163;;5;20;25;13
404;Vincent Poirier;C;26;BOS;22;130;127;.525;.056;.194;108;244;177;85;7;64;170;154;;1;2;3;.113;;-48;10;-38;-1
405;Shamorie Ponds;PG;21;TOR;4;11;331;.765;.400;.400;0;94;48;324;0;89;0;228;;1;0;1;.450;;84;53;137;0
406;Jordan Poole;SG;20;GSW;57;1274;72;.454;.528;.237;7;96;50;158;13;7;118;211;;-16;4;-12;-0.047;;-44;-22;-66;-15
407;Kevin Porter Jr.;SF;19;CLE;50;1162;108;.535;.375;.240;21;135;77;139;19;10;167;205;;-3;6;3;.012;;-32;-6;-38;-5
408;Michael Porter Jr.;SF;21;DEN;55;903;198;.617;.384;.188;82;239;161;79;15;26;106;223;;18;11;29;.154;;24;-8;15;8
409;Otto Porter;SF;26;CHI;14;331;158;.550;.443;.193;41;123;80;119;22;17;68;210;;4;4;8;.112;;8;2;10;3
410;Bobby Portis;PF;24;NYK;66;1393;146;.530;.317;.158;60;204;129;111;11;12;104;214;;9;10;19;.064;;0;-11;-11;3
411;Kristaps Porziņģis;C;24;DAL;57;1814;202;.551;.432;.304;59;251;156;88;11;54;80;270;;26;26;52;.138;;18;1;19;18
412;Dwight Powell;C;28;DAL;40;1061;159;.677;.170;.485;75;148;112;77;15;18;115;126;;26;10;36;.162;;4;9;13;9
413;Norman Powell;SG;26;TOR;52;1479;168;.624;.457;.256;19;114;68;97;19;14;104;215;;23;23;46;.150;;12;8;20;15
414;Taurean Prince;PF;25;BRK;64;1857;91;.497;.583;.120;28;181;106;92;15;11;140;204;;-17;23;6;.014;;-28;-1;-29;-4
415;Chasson Randle;PG;26;GSW;3;40;67;.377;.500;1.500;0;56;27;157;24;0;0;71;;0;0;0;.045;;-60;2;-58;0
416;Julius Randle;PF;25;NYK;64;2080;175;.538;.230;.350;75;249;160;158;12;10;143;276;;9;18;27;.062;;7;-10;-3;9
417;Josh Reaves;SF;22;DAL;4;28;58;.405;.222;.222;38;74;56;142;0;0;0;151;;0;0;0;.031;;-59;-40;-99;-1
418;Cam Reddish;SF;20;ATL;58;1551;90;.500;.451;.227;24;127;75;80;19;15;136;189;;-12;8;-4;-0.011;;-33;-10;-42;-9
419;J.J. Redick;SG;35;NOP;60;1581;154;.644;.629;.293;7;95;51;108;6;5;95;204;;36;6;41;.125;;23;-17;7;11
420;Naz Reid;C;20;MIN;30;495;153;.505;.399;.218;70;199;132;112;18;37;76;240;;2;6;8;.074;;-16;-3;-19;0
421;Josh Richardson;SG;26;PHI;55;1693;120;.533;.385;.218;27;87;57;139;15;18;128;206;;5;17;21;.061;;-14;-4;-18;1
422;Austin Rivers;SG;27;HOU;68;1594;104;.542;.539;.222;18;98;58;100;14;5;83;156;;12;12;24;.072;;-21;-4;-25;-2
423;Andre Roberson;SF;28;OKC;7;87;54;.335;.483;.069;92;247;171;63;6;30;63;161;;-1;1;0;-0.017;;-52;-1;-53;-1
424;Duncan Robinson;SG;25;MIA;73;2166;131;.684;.882;.105;5;110;60;71;8;9;89;160;;37;16;53;.118;;15;-10;5;13
425;Glenn Robinson III;SF;26;TOT;62;1786;133;.577;.333;.145;48;119;82;84;15;8;80;164;;20;9;29;.078;;-5;-12;-17;1
425;Glenn Robinson III;SF;26;GSW;48;1516;131;.574;.335;.146;46;119;81;88;14;8;85;166;;15;6;21;.067;;-6;-12;-17;1
425;Glenn Robinson III;SF;26;PHI;14;270;147;.598;.318;.141;61;119;90;59;16;6;52;152;;5;3;8;.137;;0;-13;-14;0
426;Jerome Robinson;SG;22;TOT;63;979;74;.476;.494;.184;14;128;70;119;13;15;128;164;;-6;8;2;.009;;-38;-2;-39;-5
426;Jerome Robinson;SG;22;LAC;42;476;48;.423;.493;.140;11;117;65;126;13;15;153;150;;-6;6;0;-0.004;;-53;6;-47;-3
426;Jerome Robinson;SG;22;WAS;21;503;98;.516;.494;.218;17;138;75;113;14;16;108;177;;0;2;2;.022;;-22;-9;-32;-1
427;Justin Robinson;PG;22;WAS;9;49;82;.542;.417;.000;21;93;56;188;0;18;200;127;;0;0;0;.007;;-26;-31;-57;0
428;Mitchell Robinson;C;21;NYK;61;1412;235;.726;.000;.434;137;188;162;39;18;80;83;133;;48;20;68;.230;;16;14;29;18
429;Isaiah Roby;PF;21;OKC;3;11;-77;.000;.000;.000;0;195;100;0;0;0;500;80;;-1;0;0;-0.188;;-121;-34;-155;0
430;Rajon Rondo;PG;33;LAL;48;984;124;.494;.381;.125;26;131;79;329;19;2;208;187;;1;13;14;.068;;-12;-1;-13;2
431;Derrick Rose;PG;31;DET;50;1298;210;.555;.195;.185;23;83;53;405;15;10;134;316;;18;7;25;.092;;39;-17;22;14
432;Terrence Ross;SG;28;ORL;69;1889;140;.548;.596;.217;7;123;63;68;20;11;70;228;;11;20;30;.077;;-1;-3;-4;8
433;Terry Rozier;PG;25;CHO;63;2164;148;.553;.450;.202;24;118;70;204;14;4;121;237;;19;11;30;.066;;8;-12;-4;8
434;Ricky Rubio;PG;29;PHO;65;2016;165;.535;.312;.327;25;144;84;397;22;5;179;204;;29;20;49;.117;;7;2;10;15
435;D'Angelo Russell;PG;23;TOT;45;1452;187;.556;.509;.235;12;123;66;352;16;8;136;315;;11;7;18;.060;;38;-19;19;14
435;D'Angelo Russell;PG;23;GSW;33;1060;191;.558;.506;.227;14;114;62;360;14;8;126;322;;9;4;13;.058;;45;-19;26;12
435;D'Angelo Russell;PG;23;MIN;12;392;176;.553;.521;.261;8;145;74;331;20;8;164;295;;2;3;5;.064;;18;-17;1;2
