Rk;Player;Pos;Age;Tm;G;GS;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS
272;Michael Kidd-Gilchrist;PF;26;DAL;13;0;121;12;39;.308;0;9;.000;12;30;.400;12;15;.800;15;80;95;12;6;9;27;57;36
273;Louis King;SF;20;DET;10;0;62;46;122;.381;23;64;.364;23;58;.400;0;17;.000;6;52;58;29;12;0;12;58;116
274;Maxi Kleber;PF;28;DAL;74;21;1890;45;98;.461;23;61;.373;22;37;.605;15;18;.849;21;53;74;17;5;16;11;34;128
275;Brandon Knight;SG-PG;28;TOT;25;3;462;46;130;.353;35;102;.344;11;28;.389;16;26;.588;3;29;32;54;8;2;30;31;143
275;Brandon Knight;SG;28;CLE;16;0;241;42;128;.326;28;96;.297;13;33;.409;6;19;.308;4;25;30;46;7;3;24;30;118
275;Brandon Knight;PG;28;DET;9;3;221;50;132;.383;42;109;.388;8;23;.357;26;34;.762;2;33;34;62;8;2;36;33;169
276;Kevin Knox;SF;20;NYK;65;4;1166;44;124;.359;20;61;.327;24;62;.391;20;31;.653;9;48;57;19;7;9;14;33;129
277;John Konchar;SG;23;MEM;19;0;181;48;74;.649;10;20;.500;38;54;.704;2;4;.500;36;58;93;44;14;6;14;14;107
278;Furkan Korkmaz;SG;22;PHI;72;12;1559;56;130;.430;33;82;.402;23;48;.478;18;24;.755;4;35;39;18;9;4;14;23;163
279;Luke Kornet;C;24;CHI;36;14;559;53;120;.439;20;70;.287;33;51;.646;13;18;.714;14;40;54;21;7;17;9;35;138
280;Kyle Korver;SF;38;MIL;58;1;960;47;110;.430;37;89;.418;10;21;.482;13;15;.854;6;40;46;25;10;5;18;29;145
281;Rodions Kurucs;PF;21;BRK;47;9;684;42;93;.446;17;47;.367;24;46;.529;13;20;.632;13;59;72;27;13;3;24;47;113
282;Kyle Kuzma;PF;24;LAL;61;9;1526;69;158;.436;20;64;.316;48;93;.518;27;37;.735;12;52;64;19;7;6;21;30;184
283;Skal Labissière;C;23;POR;33;1;567;51;93;.551;2;8;.231;50;85;.582;16;21;.758;41;66;107;27;4;20;19;57;121
284;Jeremy Lamb;SG;27;IND;46;42;1291;60;134;.451;15;44;.335;45;90;.508;26;31;.836;7;49;56;27;15;6;14;29;161
285;Romeo Langford;SG;20;BOS;32;2;370;27;78;.350;5;26;.185;22;52;.434;18;24;.720;15;25;40;13;8;8;11;32;77
286;Zach LaVine;SG;24;CHI;60;60;2085;93;207;.450;32;84;.380;61;123;.497;46;58;.802;7;43;50;44;15;5;36;23;264
287;Vic Law;PF;24;ORL;8;0;62;35;105;.333;6;41;.143;29;64;.455;12;35;.333;12;52;64;17;12;0;12;35;87
288;Jake Layman;SF;25;MIN;23;2;505;58;128;.453;17;51;.333;41;76;.533;17;23;.750;12;29;41;11;12;7;17;34;150
289;T.J. Leaf;PF;22;IND;28;1;222;58;139;.419;8;29;.278;50;110;.456;11;26;.438;37;78;115;15;16;6;13;36;136
290;Jalen Lecque;SG;19;PHO;5;0;32;45;113;.400;0;45;.000;45;68;.667;23;23;1.000;0;23;23;23;0;0;23;34;113
291;Courtney Lee;SG;34;DAL;24;9;345;42;86;.488;22;49;.447;20;37;.543;6;7;.857;7;26;33;13;19;6;11;34;112
292;Damion Lee;SG;27;GSW;49;36;1423;54;129;.417;22;60;.356;32;69;.471;28;32;.873;8;52;60;34;13;2;17;29;157
293;Alex Len;C;26;TOT;55;12;970;66;118;.555;6;22;.271;60;96;.619;25;39;.648;37;82;119;19;9;18;20;47;163
293;Alex Len;C;26;ATL;40;9;745;69;126;.546;7;27;.250;62;99;.627;25;39;.630;33;78;111;20;10;16;19;45;169
293;Alex Len;C;26;SAC;15;3;225;56;94;.593;3;5;.667;53;90;.589;27;38;.708;50;96;146;13;5;24;26;54;142
294;Kawhi Leonard;SF;28;LAC;57;57;1848;104;221;.470;24;63;.378;80;157;.506;69;78;.886;11;68;78;55;20;6;29;22;301
295;Meyers Leonard;C;27;MIA;51;49;1034;41;81;.509;18;45;.414;23;37;.623;6;10;.643;10;80;91;19;5;5;14;37;108
296;Caris LeVert;SG;25;BRK;45;31;1330;84;198;.425;22;60;.364;63;139;.451;38;53;.711;13;38;51;54;14;3;32;22;228
297;Damian Lillard;PG;29;POR;66;66;2474;91;196;.463;39;98;.401;52;98;.524;67;75;.888;5;37;41;77;10;3;28;17;288
298;Nassir Little;PF;19;POR;48;5;573;41;95;.430;9;37;.237;32;58;.554;18;28;.636;19;48;68;14;8;9;9;45;108
299;Kevon Looney;C;23;GSW;20;4;262;40;109;.367;1;19;.071;38;89;.431;12;16;.750;38;52;91;27;16;8;16;47;93
300;Brook Lopez;C;31;MIL;68;67;1817;58;133;.435;20;64;.314;38;69;.549;25;30;.836;11;50;62;20;9;32;14;32;161
301;Robin Lopez;C;31;MIL;66;5;958;55;112;.492;13;39;.333;42;73;.577;11;20;.528;21;39;61;17;4;17;24;36;134
302;Kevin Love;PF;31;CLE;56;56;1780;66;147;.450;30;79;.374;37;68;.537;38;44;.854;11;100;111;36;7;4;28;18;200
303;Kyle Lowry;PG;33;TOR;58;58;2098;57;138;.416;28;80;.352;29;58;.504;50;59;.857;5;45;50;74;14;4;31;33;193
304;Timothé Luwawu-Cabarrot;SF;24;BRK;47;2;853;49;114;.435;26;68;.388;23;46;.505;29;34;.852;12;41;54;12;8;3;16;45;154
305;Trey Lyles;PF;24;SAS;63;53;1271;43;97;.446;18;48;.387;25;50;.503;9;13;.733;20;82;102;20;8;8;11;28;114
306;Daryl Macon;PG;24;MIA;4;0;14;26;77;.333;26;51;.500;0;26;.000;0;0;;0;0;0;26;0;0;51;26;77
307;J.P. Macura;SG;24;CLE;1;0;1;0;0;;0;0;;0;0;;0;0;;0;0;0;0;0;0;0;0;0
308;Josh Magette;PG;30;ORL;8;0;38;47;142;.333;9;38;.250;38;104;.364;9;19;.500;9;47;57;47;28;9;47;38;114
309;Ian Mahinmi;C;33;WAS;38;35;808;46;94;.495;2;12;.192;44;82;.538;31;50;.619;35;62;97;22;14;20;20;51;126
310;Thon Maker;C;22;DET;60;14;776;43;90;.482;10;30;.344;33;60;.550;34;51;.664;25;52;77;20;12;18;21;47;130
311;Terance Mann;SF;23;LAC;41;6;362;37;79;.468;7;20;.350;30;59;.508;18;27;.667;10;45;55;53;11;5;18;46;98
312;Boban Marjanović;C;31;DAL;44;5;422;103;180;.573;3;15;.235;100;165;.603;37;49;.754;56;112;168;17;7;9;26;48;247
313;Lauri Markkanen;PF;22;CHI;50;50;1492;61;143;.425;26;76;.344;34;66;.518;30;37;.824;14;61;76;18;10;6;20;23;178
314;Caleb Martin;SF;24;CHO;18;1;317;42;95;.440;23;42;.541;19;53;.362;19;24;.810;11;32;43;26;14;8;17;36;126
315;Cody Martin;SF;24;CHO;48;3;903;35;83;.430;7;31;.234;28;52;.546;17;26;.646;15;48;63;38;16;4;18;31;95
316;Jeremiah Martin;PG;23;BRK;9;0;99;87;193;.453;18;65;.278;69;127;.543;40;51;.786;4;33;36;65;25;7;15;25;233
317;Kelan Martin;SF;24;MIN;31;4;495;52;132;.392;18;70;.260;33;62;.541;22;23;.968;9;61;70;17;5;7;15;37;143
318;Frank Mason III;PG;25;MIL;9;0;118;70;156;.451;18;64;.286;52;92;.567;31;52;.588;15;43;58;88;15;3;34;34;189
319;Garrison Mathews;SG;23;WAS;18;0;227;38;89;.429;30;73;.413;8;16;.500;49;54;.912;10;29;38;16;13;2;13;51;155
320;Wesley Matthews;SG;33;MIL;67;67;1635;37;93;.396;24;65;.364;13;28;.472;11;15;.765;5;32;37;20;8;2;9;23;109
321;Luc Mbah a Moute;PF;33;HOU;3;0;25;29;72;.400;0;29;.000;29;43;.667;14;29;.500;14;14;29;0;29;0;14;0;72
322;Patrick McCaw;SF;24;TOR;37;12;908;27;64;.414;9;28;.324;17;36;.484;5;7;.722;8;27;34;31;15;2;11;24;67
323;CJ McCollum;SG;28;POR;70;70;2556;86;191;.451;27;72;.379;59;119;.494;20;26;.757;6;35;42;44;8;6;18;26;219
324;T.J. McConnell;PG;27;IND;71;3;1326;58;112;.516;1;5;.294;56;107;.525;10;11;.833;10;41;51;96;15;3;27;20;126
325;Jalen McDaniels;SF;22;CHO;16;0;293;41;86;.471;11;29;.375;29;57;.522;17;21;.824;18;61;80;16;10;4;14;44;109
326;Doug McDermott;PF;28;IND;69;0;1372;70;144;.488;34;77;.435;36;66;.549;13;15;.828;7;39;46;20;3;1;11;31;186
327;JaVale McGee;C;32;LAL;68;68;1130;62;97;.637;1;2;.500;61;96;.640;17;26;.646;40;84;124;12;11;30;18;51;142
328;Rodney McGruder;SG;28;LAC;56;4;871;30;75;.398;10;37;.270;20;38;.522;8;14;.559;12;50;62;15;11;3;10;31;77
329;Alfonzo McKinnie;SF;27;CLE;40;1;593;44;104;.427;8;39;.215;36;64;.557;13;19;.710;22;46;69;8;14;5;16;44;110
330;Jordan McLaughlin;PG;23;MIN;30;2;590;53;109;.489;18;46;.382;35;62;.569;16;24;.667;4;26;30;76;21;2;19;19;140
331;Ben McLemore;SF;26;HOU;71;23;1619;54;121;.444;40;101;.400;14;21;.656;11;15;.746;5;30;35;13;10;4;11;34;159
332;Jordan McRae;SG;28;TOT;37;4;784;68;168;.407;21;58;.357;48;110;.433;38;50;.761;8;49;57;43;10;7;20;34;196
332;Jordan McRae;SG;28;WAS;29;4;654;73;174;.420;22;58;.377;51;116;.441;35;46;.771;9;48;57;45;10;8;21;34;204
332;Jordan McRae;SG;28;DEN;4;0;32;23;68;.333;23;45;.500;0;23;.000;34;45;.750;11;45;56;45;23;11;0;23;101
332;Jordan McRae;SG;28;DET;4;0;98;51;158;.326;11;59;.188;40;99;.407;59;81;.727;0;55;55;26;0;0;18;37;173
333;Nicolò Melli;C;29;NOP;60;8;1042;47;112;.421;24;71;.335;23;40;.573;19;25;.740;13;49;62;28;12;8;16;43;136
334;De'Anthony Melton;PG;21;MEM;60;8;1167;50;124;.401;12;43;.286;37;81;.464;29;37;.769;13;55;68;54;24;6;26;34;140
335;Chimezie Metu;C;22;SAS;18;0;105;82;144;.571;0;7;.000;82;137;.600;34;45;.769;41;72;113;34;10;21;34;24;199
336;Khris Middleton;SF;28;MIL;62;59;1853;92;184;.497;29;69;.415;63;115;.546;40;44;.916;9;66;74;51;10;1;27;28;252
337;Eric Mika;C;25;SAC;1;0;19;38;57;.667;0;0;;38;57;.667;38;38;1.000;38;95;133;0;0;0;0;95;114
338;C.J. Miles;SF;32;WAS;10;0;161;42;132;.322;25;78;.314;18;54;.333;34;45;.750;9;18;27;27;22;9;9;31;143
339;Malcolm Miller;SF;26;TOR;28;1;162;27;64;.414;18;49;.364;9;16;.571;7;18;.375;4;31;36;24;11;4;9;40;78
340;Patty Mills;PG;31;SAS;66;1;1485;63;145;.431;37;98;.382;25;47;.533;24;27;.866;5;21;26;29;13;1;13;25;186
341;Paul Millsap;PF;34;DEN;51;48;1240;61;127;.482;16;36;.435;46;91;.500;33;41;.816;28;57;85;24;13;9;20;44;172
342;Shake Milton;SG;23;PHI;40;24;805;60;124;.484;26;60;.430;34;64;.535;23;29;.785;7;33;39;47;9;3;21;41;169
343;Donovan Mitchell;SG;23;UTA;69;69;2364;92;204;.449;26;72;.366;65;132;.494;42;49;.863;8;38;46;45;11;2;28;26;252
344;Naz Mitrou-Long;SG;26;IND;5;0;47;46;130;.353;15;92;.167;31;38;.800;0;0;;0;54;54;61;8;8;23;15;107
345;Adam Mokoka;SF;21;CHI;11;0;112;39;90;.429;19;48;.400;19;42;.462;6;13;.500;23;10;32;13;13;0;6;55;103
346;Malik Monk;SG;21;CHO;55;1;1169;65;150;.434;18;63;.284;47;87;.542;25;31;.820;8;40;48;35;8;5;24;23;174
347;Matt Mooney;SG;22;CLE;4;0;19;19;76;.250;0;38;.000;19;38;.500;0;0;;0;57;57;19;38;19;0;19;38
348;E'Twaun Moore;SG;30;NOP;56;6;1020;66;154;.426;22;59;.377;43;95;.456;11;16;.689;11;35;46;28;11;4;14;28;164
349;Ja Morant;PG;20;MEM;67;67;2074;78;163;.477;10;31;.335;67;132;.511;41;53;.776;9;36;45;85;10;3;38;19;207
350;Juwan Morgan;PF;22;UTA;21;0;134;40;70;.577;8;21;.375;32;48;.667;8;11;.750;27;51;78;16;3;5;16;51;97
351;Marcus Morris;SF-PF;30;TOT;62;62;1936;66;151;.438;26;65;.408;40;86;.461;34;41;.823;11;47;58;16;9;6;18;33;192
351;Marcus Morris;SF;30;NYK;43;43;1387;73;165;.442;30;69;.439;43;97;.444;42;51;.823;12;48;60;15;9;4;19;33;218
351;Marcus Morris;PF;30;LAC;19;19;549;49;114;.425;17;55;.310;31;59;.533;12;14;.818;7;44;51;18;9;9;16;34;126
352;Markieff Morris;PF;30;TOT;58;17;1187;62;139;.443;27;69;.386;35;70;.500;20;26;.776;12;54;66;23;9;5;23;40;170
352;Markieff Morris;PF;30;DET;44;16;988;64;142;.450;27;69;.397;36;73;.500;22;29;.772;9;54;63;25;9;4;26;38;177
352;Markieff Morris;PF;30;LAL;14;1;199;51;125;.406;24;71;.333;27;54;.500;9;11;.833;29;52;81;14;9;11;11;52;134
353;Monte Morris;PG;24;DEN;73;12;1636;57;125;.459;14;38;.378;43;87;.495;17;20;.843;5;25;30;56;12;4;12;16;145
354;Johnathan Motley;PF;24;LAC;13;0;41;97;132;.733;9;9;1.000;88;123;.714;44;61;.714;26;61;88;70;26;0;44;53;246
355;Emmanuel Mudiay;PG;23;UTA;54;2;850;64;138;.462;13;37;.345;51;102;.504;27;35;.759;8;46;53;49;10;4;32;30;167
356;Mychal Mulder;SF;25;GSW;7;3;204;46;118;.388;28;92;.308;18;26;.667;16;21;.750;5;35;41;14;4;2;9;35;136
357;Dejounte Murray;PG;23;SAS;66;58;1687;63;136;.462;9;24;.369;54;112;.481;19;24;.798;15;67;82;58;24;4;27;31;154
358;Jamal Murray;PG;22;DEN;59;59;1904;77;169;.456;21;61;.346;56;108;.519;31;35;.881;9;36;45;54;13;3;24;19;206
359;Džanan Musa;SF;20;BRK;40;0;487;47;127;.372;14;58;.244;33;69;.479;33;44;.750;16;48;64;32;11;1;27;22;142
360;Mike Muscala;C;28;OKC;47;2;572;48;119;.407;34;90;.378;14;29;.500;11;14;.818;10;58;68;25;6;8;11;37;142
361;Sviatoslav Mykhailiuk;SF;22;DET;56;27;1265;47;115;.410;33;81;.404;15;34;.425;16;20;.814;5;25;30;30;12;1;17;25;143
362;Abdel Nader;SF;26;OKC;55;6;867;51;109;.468;20;53;.375;31;56;.556;21;27;.773;6;36;42;16;10;8;18;32;143
363;Larry Nance Jr.;PF;27;CLE;56;10;1472;56;105;.531;14;39;.352;42;67;.636;12;18;.676;26;74;100;30;14;5;15;22;138
364;Shabazz Napier;PG;28;TOT;56;32;1344;50;122;.412;20;64;.317;30;58;.519;34;41;.824;7;35;42;70;18;3;34;27;155
364;Shabazz Napier;PG;28;MIN;36;22;856;48;119;.403;20;67;.296;28;52;.540;30;37;.818;7;39;46;79;17;3;32;26;146
364;Shabazz Napier;PG;28;WAS;20;10;488;55;128;.428;21;60;.358;33;68;.489;40;48;.831;7;29;35;55;21;3;38;29;170
365;Raul Neto;PG;27;PHI;54;3;668;54;120;.455;18;47;.386;36;72;.500;21;25;.830;6;27;33;51;13;3;25;27;148
366;Malik Newman;SG;22;CLE;1;0;4;0;180;.000;0;90;.000;0;90;.000;180;180;1.000;0;0;0;0;0;0;90;0;180
367;Georges Niang;PF;26;UTA;66;1;923;55;126;.438;35;88;.400;20;38;.526;8;9;.833;6;44;50;17;7;2;12;29;153
368;Joakim Noah;C;34;LAC;5;0;50;29;58;.500;0;0;;29;58;.500;43;58;.750;36;79;115;50;7;7;43;65;101
369;Nerlens Noel;C;25;OKC;61;7;1127;59;86;.684;0;1;.333;58;85;.688;26;34;.755;29;67;96;18;19;29;21;53;143
370;Zach Norvell;SG;22;TOT;5;0;41;26;105;.250;26;70;.375;0;35;.000;9;9;1.000;0;53;53;26;18;0;26;35;88
370;Zach Norvell;SG;22;LAL;2;0;5;0;72;.000;0;0;;0;72;.000;0;0;;0;72;72;0;0;0;0;0;0
370;Zach Norvell;SG;22;GSW;3;0;36;30;110;.273;30;80;.375;0;30;.000;10;10;1.000;0;50;50;30;20;0;30;40;100
371;Jaylen Nowell;SG;20;MIN;15;0;151;45;126;.358;7;62;.115;38;64;.593;38;41;.941;7;24;31;45;7;2;7;26;136
372;Frank Ntilikina;PG;21;NYK;57;26;1187;40;101;.393;13;42;.321;26;59;.444;15;18;.864;7;30;37;52;16;5;22;43;108
373;Kendrick Nunn;PG;24;MIA;67;67;1962;74;168;.439;25;72;.350;48;96;.505;16;18;.850;4;29;33;40;10;3;21;28;188
374;Jusuf Nurkić;C;25;POR;8;8;253;77;155;.495;3;14;.200;74;141;.525;44;50;.886;33;84;117;46;16;23;27;55;201
375;David Nwaba;SG;27;BRK;20;0;268;50;95;.521;16;38;.429;34;58;.581;24;36;.667;11;50;60;11;15;16;11;43;140
376;Royce O'Neale;SF;26;UTA;71;62;2049;28;64;.433;16;43;.377;12;21;.545;7;10;.764;5;64;68;32;10;6;11;35;79
377;Kyle O'Quinn;C;29;PHI;29;2;313;48;98;.494;8;31;.259;40;67;.603;13;23;.550;39;94;133;59;8;28;23;43;117
378;Semi Ojeleye;PF;25;BOS;69;6;1011;28;70;.408;17;45;.378;11;25;.464;10;11;.875;9;42;52;13;7;2;7;28;84
379;Jahlil Okafor;C;24;NOP;30;9;467;78;125;.623;1;2;.333;77;123;.629;31;48;.645;37;61;98;29;5;17;29;52;187
380;Elie Okobo;PG;22;PHO;55;3;719;36;91;.398;13;36;.352;24;55;.427;25;36;.704;8;37;45;58;12;2;19;27;110
381;Josh Okogie;SG;21;MIN;62;28;1547;40;93;.427;10;36;.266;30;57;.529;35;44;.796;20;42;62;23;16;6;20;32;124
382;KZ Okpala;PF;20;MIA;5;0;26;42;69;.600;0;14;.000;42;55;.750;14;28;.500;14;55;69;14;28;14;14;28;97
383;Victor Oladipo;SG;27;IND;19;16;528;66;168;.394;23;71;.317;44;97;.451;33;40;.814;6;45;51;38;12;3;32;25;187
384;Kelly Olynyk;C;28;MIA;67;9;1300;51;110;.462;26;65;.406;25;45;.543;24;28;.860;12;72;84;32;12;6;20;48;152
385;Miye Oni;SF;22;UTA;10;1;109;40;106;.375;23;63;.368;17;43;.385;13;17;.800;17;40;56;13;13;7;13;30;116
386;Cedi Osman;SF;24;CLE;65;65;1910;50;115;.437;23;61;.383;27;54;.497;12;18;.670;7;36;44;29;10;3;17;30;135
387;Kelly Oubre Jr.;SF;24;PHO;56;55;1933;69;154;.452;20;57;.352;49;97;.511;36;46;.780;12;55;67;16;13;7;15;36;195
388;Tariq Owens;PF;24;PHO;3;0;15;24;120;.200;0;48;.000;24;72;.333;48;48;1.000;48;24;72;0;24;0;0;24;96
389;Jeremy Pargo;PG;33;GSW;3;0;44;90;180;.500;25;57;.429;65;123;.533;0;8;.000;8;16;25;65;8;0;33;65;205
390;Jabari Parker;PF;24;TOT;38;23;917;86;168;.510;13;47;.269;73;122;.603;24;32;.753;24;60;84;27;18;6;25;39;208
390;Jabari Parker;PF;24;ATL;32;23;837;85;169;.504;13;49;.270;72;120;.601;23;31;.736;23;59;82;25;18;6;26;40;206
390;Jabari Parker;PF;24;SAC;6;0;80;95;162;.583;5;18;.250;90;144;.625;36;41;.889;32;72;104;45;14;5;18;27;230
391;Chandler Parsons;PF;31;ATL;5;0;54;33;120;.278;27;93;.286;7;27;.250;0;0;;7;40;47;20;27;7;20;20;93
392;Eric Paschall;PF;23;GSW;60;26;1654;69;139;.497;8;28;.287;61;111;.550;36;46;.774;18;42;60;28;7;3;20;27;182
393;Anžejs Pasečņiks;C;24;WAS;27;0;437;50;96;.526;0;2;.000;50;93;.540;28;48;.586;35;54;88;15;7;10;20;62;129
394;Patrick Patterson;PF;30;LAC;59;18;776;44;108;.408;31;80;.390;13;28;.459;16;20;.814;16;54;70;19;3;1;10;25;135
395;Justin Patton;C;22;OKC;5;0;24;60;150;.400;15;60;.250;45;90;.500;0;0;;15;60;75;30;0;0;30;60;135
396;Chris Paul;PG;34;OKC;70;70;2208;71;145;.489;18;50;.365;53;95;.554;41;45;.907;4;53;57;77;18;2;26;26;201
397;Cameron Payne;SG;25;PHO;8;0;183;65;134;.485;30;57;.517;35;77;.462;12;14;.857;8;53;61;47;16;4;22;39;171
398;Elfrid Payton;PG;25;NYK;45;36;1246;56;127;.439;4;20;.203;52;107;.482;14;25;.570;15;46;61;93;20;5;28;26;130
399;Gary Payton II;SF;27;WAS;29;17;432;40;97;.414;11;38;.283;29;58;.500;3;7;.500;22;45;67;40;27;6;17;45;94
400;Norvel Pelle;C;26;PHI;24;0;232;39;74;.521;0;2;.000;39;73;.532;11;22;.500;31;81;112;12;5;48;28;85;88
401;Theo Pinson;SG;24;BRK;33;0;365;44;153;.290;15;79;.188;30;74;.400;15;16;.938;10;43;53;55;17;4;33;35;118
402;Mason Plumlee;C;29;DEN;61;1;1057;60;98;.615;0;2;.000;60;96;.625;28;53;.535;33;75;108;52;11;13;28;49;149
403;Jakob Poeltl;C;24;SAS;66;18;1171;51;82;.624;0;0;;51;82;.624;12;26;.465;40;75;115;36;11;29;17;39;114
404;Vincent Poirier;C;26;BOS;22;0;130;47;100;.472;3;6;.500;44;94;.471;17;19;.857;36;83;119;22;6;25;22;69;114
405;Shamorie Ponds;PG;21;TOR;4;0;11;98;164;.600;33;65;.500;65;98;.667;65;65;1.000;0;33;33;65;0;33;0;65;295
406;Jordan Poole;SG;20;GSW;57;14;1274;47;142;.333;21;75;.279;26;67;.392;27;34;.798;3;31;33;38;10;3;21;27;142
407;Kevin Porter Jr.;SF;19;CLE;50;3;1162;58;130;.442;16;49;.335;41;81;.506;23;31;.723;7;43;50;34;14;4;29;42;154
408;Michael Porter Jr.;SF;21;DEN;55;8;903;78;153;.509;25;59;.422;53;94;.564;24;29;.833;26;77;103;18;11;10;20;40;204
409;Otto Porter;SF;26;CHI;14;9;331;67;152;.443;26;67;.387;41;85;.487;21;29;.704;14;38;52;27;16;7;12;34;182
410;Bobby Portis;PF;24;NYK;66;5;1393;68;152;.450;17;48;.358;51;104;.493;18;24;.763;21;67;87;25;8;5;19;28;173
411;Kristaps Porziņģis;C;24;DAL;57;57;1814;79;185;.427;28;80;.352;51;105;.484;45;56;.799;20;87;107;20;8;23;18;37;231
412;Dwight Powell;C;28;DAL;40;37;1061;50;78;.638;3;13;.256;46;64;.716;25;38;.667;25;52;77;20;12;7;12;35;128
413;Norman Powell;SG;26;TOR;52;26;1479;72;146;.495;27;66;.399;46;79;.575;31;37;.843;6;40;46;22;15;5;19;26;202
414;Taurean Prince;PF;25;BRK;64;61;1857;54;143;.376;28;84;.339;26;60;.429;14;17;.798;10;64;74;22;11;5;25;31;150
415;Chasson Randle;PG;26;GSW;3;0;40;0;36;.000;0;18;.000;0;18;.000;45;54;.833;0;18;18;45;18;0;0;27;45
416;Julius Randle;PF;25;NYK;64;64;2080;80;174;.460;11;40;.277;69;134;.515;45;61;.733;26;82;108;34;9;4;33;31;216
417;Josh Reaves;SF;22;DAL;4;0;28;39;116;.333;0;26;.000;39;90;.429;26;26;1.000;13;26;39;39;0;0;0;64;103
418;Cam Reddish;SF;20;ATL;58;34;1551;49;129;.384;19;58;.332;30;71;.428;23;29;.802;8;42;50;20;14;6;22;31;142
419;J.J. Redick;SG;35;NOP;60;36;1581;65;144;.453;41;90;.453;24;53;.453;38;42;.892;2;32;34;27;5;2;17;22;209
420;Naz Reid;C;20;MIN;30;11;495;73;177;.412;23;71;.330;49;106;.466;27;39;.698;25;65;90;25;14;16;16;60;196
421;Josh Richardson;SG;26;PHI;55;53;1693;59;137;.430;18;53;.341;41;84;.486;24;30;.809;9;28;37;34;11;8;22;29;161
422;Austin Rivers;SG;27;HOU;68;4;1594;48;113;.421;22;61;.356;26;52;.498;18;25;.703;6;33;40;26;11;2;11;29;135
423;Andre Roberson;SF;28;OKC;7;0;87;33;120;.276;12;58;.214;21;62;.333;4;8;.500;29;83;112;17;4;12;8;54;83
424;Duncan Robinson;SG;25;MIA;73;68;2166;54;114;.470;45;101;.446;9;13;.654;11;12;.931;2;37;39;17;6;3;12;32;163
425;Glenn Robinson III;SF;26;TOT;62;52;1786;58;119;.486;16;40;.391;43;80;.534;15;17;.860;16;38;54;19;11;3;11;20;147
425;Glenn Robinson III;SF;26;GSW;48;48;1516;58;120;.481;16;40;.400;42;80;.522;15;18;.851;16;38;54;20;11;3;12;19;147
425;Glenn Robinson III;SF;26;PHI;14;4;270;59;113;.518;12;36;.333;47;77;.603;15;16;.917;20;39;59;15;12;3;7;24;144
426;Jerome Robinson;SG;22;TOT;63;6;979;42;114;.371;18;56;.320;24;58;.420;15;21;.702;5;43;47;32;10;6;18;41;117
426;Jerome Robinson;SG;22;LAC;42;1;476;35;103;.338;14;51;.284;20;52;.391;8;14;.579;4;42;45;35;10;6;20;42;92
426;Jerome Robinson;SG;22;WAS;21;5;503;49;125;.397;21;62;.349;28;63;.443;21;27;.763;6;44;49;29;11;6;16;41;141
427;Justin Robinson;PG;22;WAS;9;0;49;37;88;.417;22;37;.600;15;51;.286;0;0;;7;29;37;51;0;7;22;15;96
428;Mitchell Robinson;C;21;NYK;61;7;1412;65;87;.742;0;0;;65;87;.742;21;38;.568;47;62;109;9;13;30;9;49;150
429;Isaiah Roby;PF;21;OKC;3;0;11;0;33;.000;0;0;;0;33;.000;0;0;;0;65;65;0;0;0;33;33;0
430;Rajon Rondo;PG;33;LAL;48;3;984;50;120;.418;15;46;.328;35;74;.473;10;15;.659;8;44;52;88;15;1;33;21;125
431;Derrick Rose;PG;31;DET;50;15;1298;102;209;.490;12;41;.306;90;168;.535;34;39;.871;7;26;34;77;11;4;35;14;251
432;Terrence Ross;SG;28;ORL;69;0;1889;65;161;.403;34;96;.351;31;65;.480;30;35;.853;2;40;42;16;15;5;13;21;194
433;Terry Rozier;PG;25;CHO;63;63;2164;66;157;.423;29;70;.407;38;86;.436;28;32;.874;8;38;46;43;10;2;23;21;189
434;Ricky Rubio;PG;29;PHO;65;65;2016;51;124;.415;14;39;.361;37;85;.439;35;40;.863;8;46;54;102;17;2;31;30;151
435;D'Angelo Russell;PG;23;TOT;45;45;1452;89;210;.426;39;107;.367;50;103;.487;40;49;.809;4;40;44;71;12;3;36;21;258
435;D'Angelo Russell;PG;23;GSW;33;33;1060;93;216;.430;41;109;.374;52;107;.487;38;49;.785;5;37;41;70;11;3;34;22;265
435;D'Angelo Russell;PG;23;MIN;12;12;392;80;194;.412;35;101;.345;45;93;.485;44;51;.873;3;48;51;73;16;4;42;20;239
436;Domantas Sabonis;PF;23;IND;62;62;2159;76;141;.540;3;11;.254;74;130;.565;36;49;.723;32;97;129;52;8;5;28;33;191
437;Luka Šamanić;PF;20;SAS;3;1;48;37;120;.313;23;60;.375;15;60;.250;23;30;.750;7;68;75;45;0;15;15;45;120
438;JaKarr Sampson;PF;26;IND;34;12;471;52;88;.591;2;10;.154;50;78;.647;14;21;.667;15;52;67;16;12;9;11;49;119
439;Dario Šarić;PF;25;PHO;66;51;1632;56;119;.476;19;52;.357;38;67;.568;24;28;.844;22;68;90;27;8;4;19;34;155
440;Tomáš Satoranský;SG;28;CHI;65;64;1878;45;106;.430;12;38;.322;33;67;.491;20;23;.876;15;34;49;68;15;1;25;26;123
441;Admiral Schofield;PF;22;WAS;33;2;368;34;90;.380;19;60;.311;16;30;.516;10;15;.667;7;39;46;15;8;4;7;49;97
