Rk;Player;Pos;Age;Tm;G;GS;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS
158;Bryn Forbes;SG;26;SAS;63;62;1579;55;132;.417;34;87;.388;21;46;.470;17;21;.833;3;26;29;25;8;0;13;26;161
159;Evan Fournier;SF;27;ORL;66;66;2076;75;161;.467;30;75;.399;45;86;.527;31;38;.818;3;27;30;36;12;3;22;28;212
160;De'Aaron Fox;PG;22;SAC;51;49;1634;86;180;.480;12;41;.292;74;139;.535;53;75;.705;8;35;43;77;16;6;35;32;237
161;Melvin Frazier;SG;23;ORL;19;0;126;43;97;.441;23;46;.500;20;51;.389;6;11;.500;6;23;29;9;26;6;14;31;114
162;Michael Frazier;SG;25;HOU;13;0;145;17;72;.241;10;57;.174;7;15;.500;22;35;.643;2;22;25;5;5;0;12;55;67
163;Tim Frazier;PG;29;DET;27;11;355;34;95;.362;10;30;.333;24;65;.375;19;24;.792;9;24;33;94;14;4;37;43;98
164;Markelle Fultz;PG;21;ORL;72;60;1996;65;139;.465;6;24;.267;58;115;.507;21;29;.730;7;36;43;67;16;2;27;26;157
165;Wenyen Gabriel;PF;22;TOT;30;1;235;32;74;.438;9;31;.300;23;43;.536;23;34;.682;32;47;80;12;17;11;25;60;97
165;Wenyen Gabriel;PF;22;SAC;11;0;61;35;100;.353;6;47;.125;30;53;.556;35;59;.600;24;35;59;18;18;12;30;41;112
165;Wenyen Gabriel;PF;22;POR;19;1;174;31;64;.484;10;25;.417;21;39;.526;19;25;.750;35;52;87;10;17;10;23;66;91
166;Daniel Gafford;C;21;CHI;43;7;609;56;79;.701;0;0;;56;79;.701;19;35;.533;31;32;63;12;8;33;17;58;130
167;Danilo Gallinari;PF;31;OKC;62;62;1834;70;160;.438;35;86;.405;35;74;.476;52;58;.893;7;57;63;23;8;1;15;15;228
168;Langston Galloway;SG;28;DET;66;6;1702;50;115;.435;28;70;.399;22;45;.493;15;18;.859;7;25;32;21;10;2;8;20;143
169;Darius Garland;SG;20;CLE;59;59;1824;55;138;.401;21;58;.355;35;80;.434;12;14;.875;5;17;22;45;8;1;30;18;144
170;Marc Gasol;C;35;TOR;44;43;1161;37;87;.427;18;46;.385;19;41;.473;11;15;.735;10;76;85;46;11;12;18;38;103
171;Rudy Gay;PF;33;SAS;67;5;1461;66;147;.446;18;54;.336;47;93;.511;30;34;.882;15;74;89;28;9;8;22;25;179
172;Paul George;SG;29;LAC;48;48;1419;87;198;.439;40;97;.412;47;102;.464;48;55;.876;6;63;69;47;17;5;32;29;262
173;Taj Gibson;C;34;NYK;62;56;1025;59;100;.584;1;5;.286;57;96;.599;14;20;.732;39;55;94;18;9;11;17;43;133
174;Harry Giles;C;21;SAC;46;17;667;75;135;.554;0;1;.000;75;134;.558;21;26;.776;23;78;101;32;12;10;24;64;171
175;Shai Gilgeous-Alexander;SG;21;OKC;70;70;2428;71;150;.471;13;37;.347;58;113;.512;43;53;.807;7;54;61;34;12;7;20;17;197
